precip,snowfall,temp,timestamp,datetime
0,0,52.3,2012-03-18T11:00:00-04:00,2012-03-18 11:00:00-04:00
0,0,56.6,2012-03-18T12:00:00-04:00,2012-03-18 12:00:00-04:00
0,0,60.8,2012-03-18T13:00:00-04:00,2012-03-18 13:00:00-04:00
0,0,63.9,2012-03-18T14:00:00-04:00,2012-03-18 14:00:00-04:00
0,0,70.7,2012-03-18T15:00:00-04:00,2012-03-18 15:00:00-04:00
0,0,69.8,2012-03-18T16:00:00-04:00,2012-03-18 16:00:00-04:00
0,0,67.9,2012-03-18T17:00:00-04:00,2012-03-18 17:00:00-04:00
0,0,63.7,2012-03-18T18:00:00-04:00,2012-03-18 18:00:00-04:00
0,0,58.7,2012-03-18T19:00:00-04:00,2012-03-18 19:00:00-04:00
0,0,56.2,2012-03-18T20:00:00-04:00,2012-03-18 20:00:00-04:00
0,0,58.4,2012-03-18T21:00:00-04:00,2012-03-18 21:00:00-04:00
0,0,56.4,2012-03-18T22:00:00-04:00,2012-03-18 22:00:00-04:00
0,0,54.8,2012-03-18T23:00:00-04:00,2012-03-18 23:00:00-04:00
0,0,54,2012-03-19T00:00:00-04:00,2012-03-19 00:00:00-04:00
0,0,53.3,2012-03-19T01:00:00-04:00,2012-03-19 01:00:00-04:00
0,0,52.5,2012-03-19T02:00:00-04:00,2012-03-19 02:00:00-04:00
0,0,50.9,2012-03-19T03:00:00-04:00,2012-03-19 03:00:00-04:00
0,0,50.4,2012-03-19T04:00:00-04:00,2012-03-19 04:00:00-04:00
0,0,50.6,2012-03-19T05:00:00-04:00,2012-03-19 05:00:00-04:00
0,0,50.7,2012-03-19T06:00:00-04:00,2012-03-19 06:00:00-04:00
0,0,50.7,2012-03-19T07:00:00-04:00,2012-03-19 07:00:00-04:00
0,0,52.4,2012-03-19T08:00:00-04:00,2012-03-19 08:00:00-04:00
0,0,57.8,2012-03-19T09:00:00-04:00,2012-03-19 09:00:00-04:00
0,0,62,2012-03-19T10:00:00-04:00,2012-03-19 10:00:00-04:00
0,0,65.9,2012-03-19T11:00:00-04:00,2012-03-19 11:00:00-04:00
0,0,71.3,2012-03-19T12:00:00-04:00,2012-03-19 12:00:00-04:00
0,0,72.6,2012-03-19T13:00:00-04:00,2012-03-19 13:00:00-04:00
0,0,72.1,2012-03-19T14:00:00-04:00,2012-03-19 14:00:00-04:00
0,0,71.5,2012-03-19T15:00:00-04:00,2012-03-19 15:00:00-04:00
0,0,67.5,2012-03-19T16:00:00-04:00,2012-03-19 16:00:00-04:00
0,0,62.7,2012-03-19T17:00:00-04:00,2012-03-19 17:00:00-04:00
0,0,58.3,2012-03-19T18:00:00-04:00,2012-03-19 18:00:00-04:00
0,0,53.5,2012-03-19T19:00:00-04:00,2012-03-19 19:00:00-04:00
0,0,50.4,2012-03-19T20:00:00-04:00,2012-03-19 20:00:00-04:00
0,0,49.5,2012-03-19T21:00:00-04:00,2012-03-19 21:00:00-04:00
0,0,48.9,2012-03-19T22:00:00-04:00,2012-03-19 22:00:00-04:00
0,0,48.2,2012-03-19T23:00:00-04:00,2012-03-19 23:00:00-04:00
0,0,47.9,2012-03-20T00:00:00-04:00,2012-03-20 00:00:00-04:00
0,0,47.6,2012-03-20T01:00:00-04:00,2012-03-20 01:00:00-04:00
0,0,47.4,2012-03-20T02:00:00-04:00,2012-03-20 02:00:00-04:00
0,0,46.9,2012-03-20T03:00:00-04:00,2012-03-20 03:00:00-04:00
0,0,46.7,2012-03-20T04:00:00-04:00,2012-03-20 04:00:00-04:00
0,0,46.4,2012-03-20T05:00:00-04:00,2012-03-20 05:00:00-04:00
0,0,46.5,2012-03-20T06:00:00-04:00,2012-03-20 06:00:00-04:00
0,0,46.6,2012-03-20T07:00:00-04:00,2012-03-20 07:00:00-04:00
0,0,47.5,2012-03-20T08:00:00-04:00,2012-03-20 08:00:00-04:00
0,0,49.3,2012-03-20T09:00:00-04:00,2012-03-20 09:00:00-04:00
0,0,54.3,2012-03-20T10:00:00-04:00,2012-03-20 10:00:00-04:00
0,0,59.6,2012-03-20T11:00:00-04:00,2012-03-20 11:00:00-04:00
0,0,64.9,2012-03-20T12:00:00-04:00,2012-03-20 12:00:00-04:00
0,0,69.2,2012-03-20T13:00:00-04:00,2012-03-20 13:00:00-04:00
0,0,73,2012-03-20T14:00:00-04:00,2012-03-20 14:00:00-04:00
0,0,75.2,2012-03-20T15:00:00-04:00,2012-03-20 15:00:00-04:00
0,0,75.6,2012-03-20T16:00:00-04:00,2012-03-20 16:00:00-04:00
0,0,74.4,2012-03-20T17:00:00-04:00,2012-03-20 17:00:00-04:00
0,0,70.1,2012-03-20T18:00:00-04:00,2012-03-20 18:00:00-04:00
0,0,65.6,2012-03-20T19:00:00-04:00,2012-03-20 19:00:00-04:00
0,0,63.3,2012-03-20T20:00:00-04:00,2012-03-20 20:00:00-04:00
0,0,62.6,2012-03-20T21:00:00-04:00,2012-03-20 21:00:00-04:00
0,0,61.3,2012-03-20T22:00:00-04:00,2012-03-20 22:00:00-04:00
0,0,60,2012-03-20T23:00:00-04:00,2012-03-20 23:00:00-04:00
0,0,59.1,2012-03-21T00:00:00-04:00,2012-03-21 00:00:00-04:00
0,0,58.2,2012-03-21T01:00:00-04:00,2012-03-21 01:00:00-04:00
0,0,57.3,2012-03-21T02:00:00-04:00,2012-03-21 02:00:00-04:00
0,0,55.7,2012-03-21T03:00:00-04:00,2012-03-21 03:00:00-04:00
0,0,55.4,2012-03-21T04:00:00-04:00,2012-03-21 04:00:00-04:00
0,0,55,2012-03-21T05:00:00-04:00,2012-03-21 05:00:00-04:00
0,0,54.7,2012-03-21T06:00:00-04:00,2012-03-21 06:00:00-04:00
0,0,54.4,2012-03-21T07:00:00-04:00,2012-03-21 07:00:00-04:00
0,0,56.9,2012-03-21T08:00:00-04:00,2012-03-21 08:00:00-04:00
0,0,61.3,2012-03-21T09:00:00-04:00,2012-03-21 09:00:00-04:00
0,0,65.7,2012-03-21T10:00:00-04:00,2012-03-21 10:00:00-04:00
0,0,69.4,2012-03-21T11:00:00-04:00,2012-03-21 11:00:00-04:00
0,0,72.6,2012-03-21T12:00:00-04:00,2012-03-21 12:00:00-04:00
0,0,74.6,2012-03-21T13:00:00-04:00,2012-03-21 13:00:00-04:00
0,0,75.8,2012-03-21T14:00:00-04:00,2012-03-21 14:00:00-04:00
0,0,77.9,2012-03-21T15:00:00-04:00,2012-03-21 15:00:00-04:00
0,0,77.3,2012-03-21T16:00:00-04:00,2012-03-21 16:00:00-04:00
0,0,75.3,2012-03-21T17:00:00-04:00,2012-03-21 17:00:00-04:00
0,0,71.4,2012-03-21T18:00:00-04:00,2012-03-21 18:00:00-04:00
0,0,66.8,2012-03-21T19:00:00-04:00,2012-03-21 19:00:00-04:00
0,0,64.5,2012-03-21T20:00:00-04:00,2012-03-21 20:00:00-04:00
0,0,64.7,2012-03-21T21:00:00-04:00,2012-03-21 21:00:00-04:00
0,0,63.5,2012-03-21T22:00:00-04:00,2012-03-21 22:00:00-04:00
0,0,62.4,2012-03-21T23:00:00-04:00,2012-03-21 23:00:00-04:00
0,0,61.5,2012-03-22T00:00:00-04:00,2012-03-22 00:00:00-04:00
0,0,60.7,2012-03-22T01:00:00-04:00,2012-03-22 01:00:00-04:00
0,0,60.4,2012-03-22T02:00:00-04:00,2012-03-22 02:00:00-04:00
0,0,59.7,2012-03-22T03:00:00-04:00,2012-03-22 03:00:00-04:00
0,0,60.1,2012-03-22T04:00:00-04:00,2012-03-22 04:00:00-04:00
0,0,60.1,2012-03-22T05:00:00-04:00,2012-03-22 05:00:00-04:00
0,0,59.9,2012-03-22T06:00:00-04:00,2012-03-22 06:00:00-04:00
0,0,59.8,2012-03-22T07:00:00-04:00,2012-03-22 07:00:00-04:00
0,0,60.3,2012-03-22T08:00:00-04:00,2012-03-22 08:00:00-04:00
0,0,62,2012-03-22T09:00:00-04:00,2012-03-22 09:00:00-04:00
0,0,63.9,2012-03-22T10:00:00-04:00,2012-03-22 10:00:00-04:00
0,0,66.7,2012-03-22T11:00:00-04:00,2012-03-22 11:00:00-04:00
0,0,71.9,2012-03-22T12:00:00-04:00,2012-03-22 12:00:00-04:00
0,0,75.7,2012-03-22T13:00:00-04:00,2012-03-22 13:00:00-04:00
0,0,77.8,2012-03-22T14:00:00-04:00,2012-03-22 14:00:00-04:00
0,0,81.3,2012-03-22T15:00:00-04:00,2012-03-22 15:00:00-04:00
0,0,81.3,2012-03-22T16:00:00-04:00,2012-03-22 16:00:00-04:00
0,0,80.1,2012-03-22T17:00:00-04:00,2012-03-22 17:00:00-04:00
0,0,75.5,2012-03-22T18:00:00-04:00,2012-03-22 18:00:00-04:00
0,0,69.5,2012-03-22T19:00:00-04:00,2012-03-22 19:00:00-04:00
0,0,67.3,2012-03-22T20:00:00-04:00,2012-03-22 20:00:00-04:00
0,0,66.7,2012-03-22T21:00:00-04:00,2012-03-22 21:00:00-04:00
0,0,65.9,2012-03-22T22:00:00-04:00,2012-03-22 22:00:00-04:00
0,0,65.7,2012-03-22T23:00:00-04:00,2012-03-22 23:00:00-04:00
0,0,65.5,2012-03-23T00:00:00-04:00,2012-03-23 00:00:00-04:00
0,0,65.2,2012-03-23T01:00:00-04:00,2012-03-23 01:00:00-04:00
0,0,64.1,2012-03-23T02:00:00-04:00,2012-03-23 02:00:00-04:00
0,0,60.6,2012-03-23T03:00:00-04:00,2012-03-23 03:00:00-04:00
0,0,60.4,2012-03-23T04:00:00-04:00,2012-03-23 04:00:00-04:00
0,0,60.1,2012-03-23T05:00:00-04:00,2012-03-23 05:00:00-04:00
0,0,58.5,2012-03-23T06:00:00-04:00,2012-03-23 06:00:00-04:00
0,0,56.7,2012-03-23T07:00:00-04:00,2012-03-23 07:00:00-04:00
0,0,59.1,2012-03-23T08:00:00-04:00,2012-03-23 08:00:00-04:00
0,0,62.9,2012-03-23T09:00:00-04:00,2012-03-23 09:00:00-04:00
0,0,65.8,2012-03-23T10:00:00-04:00,2012-03-23 10:00:00-04:00
0,0,67.8,2012-03-23T11:00:00-04:00,2012-03-23 11:00:00-04:00
0,0,69.1,2012-03-23T12:00:00-04:00,2012-03-23 12:00:00-04:00
0,0,70,2012-03-23T13:00:00-04:00,2012-03-23 13:00:00-04:00
0,0,70.7,2012-03-23T14:00:00-04:00,2012-03-23 14:00:00-04:00
0,0,72.7,2012-03-23T15:00:00-04:00,2012-03-23 15:00:00-04:00
